site_no,station_name,latitude,longitude,huc,site_type
385826077110401,MO Fe   9,38.9739991,-77.1841465,2070008.0,GW
385828077065301,MO Ff  23,38.9745,-77.1149444,2070008.0,GW
385828077111701,MO Fe  12,38.97455467,-77.1877577,2070008.0,GW
385829077111801,MO Fe   6,38.97483244,-77.1880355,2070008.0,GW
385832077104301,MO Fe  10,38.97566577,-77.17831308,2070008.0,GW
385833077111501,MO Fe   8,38.9759435,-77.1872021,2070008.0,GW
385834077040101,MO Fg   5,38.97622145,-77.0666442,2070010.0,GW
385836077031501,"BEECH/OREGON, DC",38.97666667,-77.05305556,20700100102.0,ST
385839077055701,MO2010G001,38.9775,-77.0991667,2070008.0,GW
385841077023501,"RILEY SPRINGS, DC",38.97833333,-77.0425,20700100102.0,LK
385842077055301,MO2012G004,38.9783333,-77.0980556,2070008.0,GW
385846077021601,"16TH STREET, DC",38.97944444,-77.03694444,20700100102.0,ST
385851077055501,MO Ff  17,38.98094356,-77.0983115,2070008.0,GW
385856077082301,MO Ff   7,38.98233237,-77.1394234,2070008.0,GW
385856077082501,MO Ff   6,38.98233237,-77.139979,2070008.0,GW
385857077045001,MO Fg   2,38.9826102,-77.0802556,2070010.0,GW
385857077045002,MO Fg   3,38.9826102,-77.0802556,2070010.0,GW
385857077045003,MO Fg   4,38.9826102,-77.0802556,2070010.0,GW
385859077060601,MO Ff  15,38.9831657,-77.1013671,2070008.0,GW
385901077030101,"DEERPRINT RUN, DC",38.98166667,-77.05083333,20700100102.0,ST
385903077024101,"WEST BEECH, DC",38.98416667,-77.04472222,20700100102.0,LK
385906077025801,"WEIR POND A, DC",38.985,-77.04916667,20700100102.0,LK
385907077024901,"PARKSIDE, DC",38.98527778,-77.04694444,20700100102.0,LK
385908077051201,MO Ff  25,38.98555556,-77.0866667,2070010.0,GW
385911077014401,MO Fg   1,38.9864991,-77.02858798,2070010.0,GW
385913077134301,"COST31, MD",38.98694444,-77.22861111,2070010.0,ST
385918077043601,MO Fg   6,38.98844345,-77.0763666,2070010.0,GW
385920076571701,PG Bc  37,38.9881658,-76.95525279,2070010.0,GW
385920077132901,MO Fe   4,38.9889988,-77.2244249,2070008.0,GW
385920077134501,"COST39, MD",38.98888889,-77.22916667,2070010.0,ST
385925077054301,MO Ff  26,38.9902222,-77.0953333,2070010.0,GW
385929077020901,WW Ac   8,38.9914722,-77.0357222,2070010.0,GW
385929077131501,"COST28, MD",38.99138889,-77.22083333,2070010.0,ST
385929077142101,"COST22, MD",38.99138889,-77.23916667,2070010.0,ST
385933077045101,MO Fg   9,38.99261004,-77.08053339,2070010.0,GW
385936077104301,MO Fe  11,38.99344325,-77.1783129,2070008.0,GW
385936077135501,"COST27, MD",38.99333333,-77.23194444,2070010.0,ST
385937077054701,MO Ff  21,38.9936111,-77.0964167,2070010.0,GW
385939077142801,"COST21, MD",38.99416667,-77.24111111,2070010.0,ST
385941077132701,MO Fe   3,38.99483206,-77.2238693,2070008.0,GW
385943077132901,MO Fe   2,38.9953876,-77.22442488,2070008.0,GW
385944077090301,MO Ff   3,38.99566546,-77.1505347,2070008.0,GW
385944077110401,MO Fe   5,38.9956654,-77.1841464,2070008.0,GW
385945077060901,MO Ff   8,38.99594329,-77.1022004,2070010.0,GW
385946077095901,MO Ff  18,38.99622099,-77.16609048,2070008.0,SP
385950077053901,MO Ff  11,38.99733217,-77.093867,2070010.0,GW
385950077054601,MO Ff  10,38.99733216,-77.0958114,2070010.0,GW
385950077091301,MO Ff   1,38.9973321,-77.1533125,2070008.0,GW
385951077045601,MO Fg   8,38.99760995,-77.0819223,2070010.0,GW
385951077054701,MO Ff  22,38.99755556,-77.0965,2070010.0,GW
385951077054702,MO Ff  27,38.9975833,-77.0963333,2070010.0,GW
385952077050801,MO Ff  19,38.99775,-77.0848333,2070010.0,GW
385952077090401,MO Ff  16,38.99788765,-77.1508124,2070008.0,GW
385952077091701,MO Ff   2,38.99788764,-77.1544236,2070008.0,GW
385953077054201,MO Ff  20,38.99816548,-77.0947003,2070010.0,GW
385955077054501,MO Ff  28,38.99852778,-77.0959444,2070010.0,GW
385955077054502,MO Ff  29,38.99852778,-77.0959444,2070010.0,GW
385955077054503,MO Ff  30,38.99866667,-77.0959167,2070010.0,GW
385955077054504,MO Ff  31,38.9984722,-77.0958333,2070010.0,GW
385956077013001,MO Fg   7,38.99899888,-77.024699,2070010.0,GW
385956077053701,MO Ff  12,38.9989988,-77.09331139,2070010.0,GW
385957077061901,MO Ff   9,38.99927656,-77.1049783,2070010.0,GW
385958077134001,MO Fe   1,38.9995542,-77.2274804,2070008.0,GW
390001077080901,MO Ef  24,39.0003876,-77.1355344,2070008.0,GW
390002077145401,MO Ee  41,39.00066527,-77.2480364,2070008.0,GW
390002077145402,MO Ee  42,39.00066527,-77.2480364,2070008.0,GW
390007077042601,MO Eg  29,39.00188889,-77.0738333,2070010.0,GW
390008077052701,MO Eg  28,39.0023333,-77.0908611,2070010.0,GW
390008077054801,MO Eg  27,39.0024722,-77.0969722,2070010.0,GW
390009076573301,PG Bc  44,39.0026111,-76.9591944,2070010.0,GW-TH
390009077083801,MO Ef  25,39.0026098,-77.14359008,2070008.0,GW
390017077113901,MO Ee   8,39.0048319,-77.19386878,2070008.0,GW
390020077084901,MO Ef  51,39.0056653,-77.1466457,2070008.0,GW
390020077113901,MO Ee   9,39.00566524,-77.19386879,2070008.0,GW
390027077130201,MO Ee  27,39.0076096,-77.21692478,2070008.0,GW
390031077133101,MO Ee  31,39.0087207,-77.2249805,2070008.0,GW
390032077142201,"COST8, MD",39.00888889,-77.23944444,2070010.0,ST
390034077102201,MO Ee  28,39.00955409,-77.1724796,2070008.0,GW
390036077031301,MO Eg   9,39.01010976,-77.0533107,2070010.0,GW
390036077031701,MO Eg   8,39.01010976,-77.0544219,2070010.0,GW
390042077093601,MO Ef  12,39.01177629,-77.1597016,2070008.0,GW
390046077093401,MO Ef  54,39.01288738,-77.159146,2070008.0,GW
390050077121401,MO Ee  18,39.0139984,-77.20359128,2070008.0,GW
390051077131301,MO Ee  17,39.01427618,-77.2199805,2070008.0,GW
390051077162701,VA6059300 RIVERSIDE MANOR- FAI WELL 3,39.01416667,-77.2741667,2070008.0,GW
390106077110802,MO Ee  30,39.0184428,-77.1852577,2070008.0,GW
390107077110901,MO Ee  29,39.01872058,-77.1855355,2070008.0,GW
390108077123001,MO Ee   6,39.0189983,-77.2080359,2070008.0,GW
390120076580201,PG Bc   1,39.02233186,-76.96691998,2070010.0,GW
390121077093301,MO Ef  13,39.0226094,-77.1588683,2070008.0,GW
390124077044501,MO Eg  14,39.0234428,-77.0788669,2070010.0,GW
390128077112501,MO Ee  19,39.0245538,-77.18998,2070008.0,GW
390128077112502,MO Ee  20,39.0245538,-77.18998,2070008.0,GW
390139077044201,MO Eg  12,39.0276094,-77.0780335,2070010.0,GW
390140077044101,MO Eg  13,39.0278872,-77.0777558,2070010.0,GW
390147076594501,MO Eh  11,39.0298317,-76.995532,2070010.0,GW
390148077124201,MO Ee   7,39.03010925,-77.21136939,2070008.0,GW
390151076561501,PG Bc 16,39.031075,-76.937206,20700100202.0,GW
390153077061801,MO Ef  44,39.0314982,-77.1047007,2070010.0,GW
390156077044601,MO Eg  11,39.03233157,-77.0791447,2070010.0,GW
390156077073601,MO Ef  52,39.0323315,-77.1263678,2070008.0,GW
390200076595001,MO Eh  12,39.03344274,-76.9969209,2070010.0,GW
390201077144001,MO Ee   5,39.03372026,-77.2441478,2070008.0,GW
390203076594901,MO Eh  13,39.03427606,-76.9966431,2070010.0,GW
